L_space_fillings,name,finite_fillings,longitude,non_L_space_fillings,id
"[(5, -1), (-4, -1), (-3, -2), (-1, -2), (-1, -1), (-1, -3), (-3, -1), (-2, -3), (-2, -1), (0, -1), (1, 0), (4, -1)]",m194,"[(-1, -1), (0, -1), (1, 0)]","(37, 1)",[],141
"[(5, -2), (5, -1), (2, -3), (4, -1), (3, -1), (4, -3), (1, -3), (1, 0), (1, -2), (5, -3)]",m195,"[(1, 0)]","(8, 9)","[(4, 1), (3, 1), (3, 2), (-2, -3), (2, 1), (-1, -3), (-1, -2)]",142
"[(-1, 0), (-1, -4), (-1, -3), (1, -4), (0, -1), (1, -3), (1, -2)]",m196,"[(-1, 0), (0, -1)]","(19, -23)","[(2, -3), (-3, 2), (-2, 1), (-3, 1), (-4, 1)]",143
"[(2, -3), (1, -1), (0, -1), (1, -3), (1, 0), (1, -2)]",m197,"[(1, -1), (0, -1), (1, 0)]","(8, 37)",[],144
"[(5, -1), (-1, 0), (-3, -2), (-1, -1), (-2, -3), (-3, -1), (-1, -3), (-2, -1), (0, -1), (4, -1), (-4, -1)]",m198,"[(-1, 0), (-1, -1), (0, -1)]","(38, -1)",[],145
"[(-1, 0)]",m199,"[(-1, 0)]","(4, -1)","[(3, -1), (-5, 1), (-3, -2), (2, -1), (-2, -3), (-3, -1), (-6, -1), (-1, -3), (-5, -2), (1, -3), (-5, -1), (1, -2), (3, -2), (-4, -1)]",146
"[(0, -1), (1, -1), (-1, 0)]",m200,"[(0, -1), (1, -1), (-1, 0)]","(7, -2)","[(2, -1), (3, -1)]",147
"[(1, 0)]",m201,"[(1, 0)]","(0, 1)","[(5, 1), (4, 1)]",148
"[(1, 0)]",m206,"[(1, 0)]","(0, 1)","[(5, -2), (5, -1), (3, 2), (1, 3), (5, 2), (4, 1), (3, 1), (1, 2), (2, -3), (3, -1), (2, 3), (3, -2), (5, 1), (1, -3), (1, -2), (4, -1)]",149
"[(-3, -1), (-1, -1), (-1, -3)]",m207,[],"(1, -1)","[(-2, 1), (-3, 1), (1, -3), (1, -2)]",150
"[(4, -3), (3, -1), (1, -3), (3, 1), (3, -4), (2, 1), (1, -4), (0, -1), (1, 0), (1, -1), (4, -1)]",m208,"[(0, -1), (1, 0), (1, -1)]","(1, 1)","[(-1, -3), (-1, -2)]",151
"[(0, -1), (1, 0), (-1, -1)]",m209,"[(0, -1), (1, 0), (-1, -1)]","(28, 17)","[(2, 1)]",152
"[(2, -3), (-1, 0), (1, -1), (-1, -3), (-2, -3), (-5, -1), (1, -3), (1, -2), (-5, -2), (-4, -1)]",m210,"[(-1, 0), (1, -1)]","(23, -8)","[(3, -2), (-5, 1), (2, -1), (-3, 1), (-4, 1)]",153
"[(0, -1), (1, 0), (2, -1), (1, -1)]",m211,"[(0, -1), (1, 0), (1, -1)]","(28, 1)",[],154
"[(2, -3), (-1, 0), (1, -1), (1, -4), (0, -1), (1, -3), (1, -2)]",m212,"[(-1, 0), (1, -1), (0, -1)]","(29, -16)","[(3, -2)]",155
"[(-4, -1), (-3, -2), (-1, -1), (-3, -1), (-2, -1), (0, -1), (-1, 0)]",m213,"[(-1, -1), (0, -1), (-1, 0)]","(37, -10)","[(5, -2), (-5, 1), (-4, 1)]",156
"[(-4, -1), (-3, -2), (-3, -1), (-2, -1), (0, -1), (-1, 0)]",m214,"[(0, -1), (-1, 0)]","(41, -11)","[(5, -2), (-5, 1)]",157
"[(-1, 0), (-1, -4), (-2, 3), (-1, 2), (-1, -1), (-1, -3), (-1, 3), (-2, -3), (-1, -2), (0, -1)]",m215,"[(-1, 0), (-1, -1), (0, -1)]","(5, -33)","[(-1, 4)]",158
"[(2, -3), (-5, -2), (-1, 0), (-4, -3), (0, -1), (3, -2), (-2, -3), (-1, -3), (-5, -1), (-1, -1), (1, -3), (1, -2), (-4, -1)]",m216,"[(-1, 0), (0, -1), (-1, -1)]","(7, -1)","[(3, -1), (4, -1)]",159
"[(0, -1), (-1, 0)]",m217,"[(0, -1), (-1, 0)]","(2, -5)",[],160
"[(-1, -2), (-2, -3), (-1, -3), (-1, -1), (0, -1), (1, 0)]",m218,"[(-1, -1), (0, -1), (1, 0)]","(33, 13)","[(3, 1), (-3, -2), (-2, -1)]",161
"[(0, -1), (-1, 0), (-1, -1), (-2, -3), (-1, -4), (-1, -3), (-1, -2)]",m219,"[(0, -1), (-1, 0), (-1, -1)]","(19, -24)","[(2, -3), (1, -4), (1, -3), (1, -2)]",162
"[(1, 0)]",m220,"[(1, 0)]","(10, 3)","[(5, -1), (3, -2), (-3, -1), (1, -2), (6, 1), (2, -1), (3, -1), (-3, -2), (-2, -3), (-1, -3), (-5, -2), (1, -3), (5, 1), (4, 1), (4, -1)]",163
"[(-1, 0)]",m221,"[(-1, 0)]","(6, -5)","[(2, -3), (-5, 1), (-4, -1), (-6, 1), (-3, -2), (-2, -1), (-1, -3), (-3, 1), (-4, 1), (-5, -1), (-1, -2), (1, -3), (-5, 2), (1, -2), (-3, -1), (-3, 2)]",164
"[(-1, 0)]",m222,"[(-1, 0)]","(1, -1)","[(-2, 1), (-5, 1), (-6, 1), (-3, 1), (-3, -2), (-1, -2), (-2, -3), (-3, -1), (-6, -1), (-4, 1), (-1, -3), (-5, -1), (-2, -1), (1, -3), (1, -2), (-5, -2), (-3, 2), (-4, -1)]",165
"[(5, -1), (3, -1), (2, -3), (-5, -1), (-4, -1), (1, -3), (-3, -1), (-1, -1), (2, -1), (-1, -2), (3, -2), (-3, -2), (-2, -3), (-1, -3), (-5, -2), (-2, -1), (-4, -3), (0, -1), (1, 0), (1, -2), (4, -1)]",m223,"[(-1, -1), (0, -1), (1, 0)]","(23, 1)",[],166
"[(-1, 0)]",m224,"[(-1, 0)]","(3, -1)",[],167
"[(0, -1), (1, 0), (1, 1)]",m225,"[(0, -1), (1, 0), (1, 1)]","(8, 35)",[],168
"[(0, -1), (1, 0)]",m227,"[(0, -1), (1, 0)]","(14, 5)","[(3, 1)]",169
"[(0, -1), (1, -1), (-1, 0)]",m228,"[(0, -1), (1, -1), (-1, 0)]","(32, -13)","[(2, -1)]",170
"[(5, -2), (4, -3), (2, -3), (1, -3), (5, -1), (-2, -3), (-1, -3), (-1, -2), (0, -1), (1, 0), (3, -2)]",m229,"[(0, -1), (1, 0)]","(31, 11)","[(-3, -2), (3, 1), (-2, -1), (4, 1)]",171
"[(2, -3), (-1, 0), (1, -2), (0, -1), (1, -1)]",m230,"[(-1, 0), (0, -1), (1, -1)]","(39, -8)","[(2, -1), (3, -2)]",172
"[(-1, 0), (-3, -1), (-3, -2), (-2, -1), (0, -1), (-4, -1)]",m231,"[(-1, 0), (0, -1)]","(11, -1)",[],173
"[(5, -2), (4, -3), (2, -3), (-1, 0), (-3, -2), (-2, -3), (-3, -1), (3, -2), (-1, -3), (-2, -1), (1, -3), (4, -1), (-4, -1)]",m232,"[(-1, 0)]","(22, -3)","[(5, -1)]",174
"[(-1, 0), (-3, -1), (-2, -1), (-1, -1), (0, -1), (-4, -1)]",m233,"[(-1, 0), (-1, -1), (0, -1)]","(43, -5)",[],175
"[(0, -1), (2, -3), (1, -2), (2, -1), (3, -2), (3, -1), (1, -3), (4, -1)]",m234,"[(0, -1)]","(1, 1)","[(3, 1), (2, 1), (3, 2), (-1, -4), (-1, -3), (-1, -2), (5, 1), (4, 1), (-2, -3)]",176
[],m235,[],"(0, 1)","[(1, 2), (5, -1), (3, 2), (1, 3), (4, 1), (6, 1), (2, -1), (3, -2), (1, -2), (2, 3), (3, -1), (4, 3), (1, -3), (5, 1), (5, 2), (4, -1)]",177
"[(0, -1), (-1, 0)]",m236,"[(0, -1), (-1, 0)]","(32, -5)",[],178
"[(3, -2), (2, -3), (-5, -1), (-1, 0), (-4, -3), (0, -1), (-2, -3), (-1, -3), (-5, -2), (-1, -1), (1, -3), (1, -2), (-4, -1)]",m238,"[(-1, 0), (0, -1), (-1, -1)]","(34, -7)","[(4, -1)]",179
"[(3, -1), (2, -3), (-5, -2), (-4, -1), (-4, -3), (2, -1), (3, -2), (-3, -2), (-2, -3), (-5, -1), (1, -3), (0, -1), (1, 0), (4, -1)]",m239,"[(0, -1), (1, 0)]","(34, 1)",[],180
"[(-1, 3), (-1, 1), (-1, 0), (-1, -4), (-3, -1), (-1, 2), (-1, 4), (-2, -3), (-2, 3), (-1, -3), (-1, -2), (0, -1), (-3, 4), (-3, -2)]",m240,"[(-1, 1), (-1, 0), (0, -1)]","(1, -37)",[],181
"[(1, 2), (2, -3), (1, 3), (3, 4), (2, 3), (3, -2), (0, -1), (1, -3), (1, 0), (1, -2), (1, 1)]",m241,"[(0, -1), (1, 0), (1, 1)]","(4, 43)","[(1, 4)]",182
"[(0, -1), (-1, 1), (-1, 0)]",m242,"[(0, -1), (-1, 1), (-1, 0)]","(2, -31)","[(-1, 2)]",183
"[(-1, 0), (-1, -4), (-2, 1), (-1, -3), (-3, 1), (-4, 1), (-1, -1), (0, -1)]",m243,"[(-1, 0), (-1, -1), (0, -1)]","(21, -23)","[(1, -3), (2, -3), (-3, 2), (1, -4), (1, -2)]",184
"[(5, -2), (-1, -3), (-2, -3), (0, -1), (1, 0), (1, -1), (5, -3)]",m244,"[(0, -1), (1, 0), (1, -1)]","(36, 13)","[(-3, -2)]",185
"[(0, -1), (-1, 1), (-3, 2), (-1, 0)]",m246,"[(0, -1), (-1, 1), (-1, 0)]","(13, -30)",[],186
"[(0, -1), (2, -3), (2, -1), (3, -2), (3, -1), (1, -4), (1, -3), (1, -2), (4, -1)]",m247,"[(0, -1)]","(5, 3)","[(3, 1), (-1, -3), (-3, -2), (4, 1), (-1, -2), (-2, -3), (-1, -1), (2, 1)]",187
"[(0, -1), (1, 0), (-1, -2)]",m248,"[(0, -1), (1, 0)]","(29, 25)",[],188
"[(5, -2), (5, -1), (2, -3), (-4, -1), (-3, -2), (-1, -2), (2, -1), (-2, -1), (3, -1), (-3, -1), (3, -2), (-1, -3), (-5, -1), (-1, -1), (1, -3), (1, 0), (1, -2), (4, -1)]",m249,"[(1, 0)]","(8, 1)",[],189
"[(0, -1), (-1, 1), (-1, 0)]",m250,"[(0, -1), (-1, 1), (-1, 0)]","(19, -41)",[],190
"[(0, -1), (-1, 1), (-1, 0), (-3, -2), (-1, 2), (-2, -3), (-2, 3), (-1, -3), (-1, -2), (-3, 4)]",m251,"[(0, -1), (-1, 1), (-1, 0)]","(16, -47)","[(1, -4), (1, -3)]",191
"[(1, -1), (1, 0), (1, -2), (0, -1)]",m252,"[(1, -1), (1, 0), (0, -1)]","(9, 32)",[],192
"[(1, 2), (3, 2), (1, -1), (3, 1), (4, 1), (2, 3), (1, 0)]",m253,"[(1, -1), (1, 0)]","(0, 1)","[(1, 3), (2, -3), (1, -3), (3, -4), (1, -2)]",193
"[(0, -1), (1, -2), (-1, 0)]",m255,"[(0, -1), (-1, 0)]","(9, -5)",[],194
"[(0, -1), (-1, 1), (-1, 0)]",m256,"[(0, -1), (-1, 1), (-1, 0)]","(29, -39)",[],195
"[(1, 2), (0, -1), (1, 0), (1, 1)]",m257,"[(0, -1), (1, 0), (1, 1)]","(9, 43)",[],196
"[(0, -1), (1, 0), (-1, -1)]",m258,"[(0, -1), (1, 0), (-1, -1)]","(40, 17)",[],197
"[(-4, 1), (-1, 0), (-1, -4), (-2, 3), (-1, 2), (-1, -3), (-3, 2), (-2, -3), (-1, -2), (0, -1)]",m259,"[(-1, 0), (0, -1)]","(1, -5)","[(-1, 4), (-1, 3)]",198
"[(-1, 0)]",m260,"[(-1, 0)]","(4, -3)","[(-2, 1), (-5, 1), (-7, -1), (-4, -1), (-6, 1), (-3, 1), (-3, -2), (-1, -2), (-1, -1), (-3, -1), (-6, -1), (-4, 1), (-5, -2), (-2, -1), (-3, 2), (1, -2), (-5, -1)]",199
"[(-1, 0)]",m261,"[(-1, 0)]","(1, -1)","[(-2, 1), (-5, 1), (-4, -1), (-6, 1), (-3, -1), (-1, -2), (-3, -2), (-3, 1), (-6, -1), (-4, 1), (-7, 1), (-5, -1), (-2, -1), (1, -3), (-5, 2), (1, -2), (-3, 2)]",200
"[(5, -1), (4, -3), (2, -3), (2, -1), (3, -2), (1, -1), (3, -1), (1, -4), (1, -3), (1, -2), (4, -1), (0, -1)]",m262,"[(1, -1), (0, -1)]","(1, 1)","[(3, 1), (4, 1), (3, 2), (-2, -3), (-1, -3), (-1, -2)]",201
"[(2, -3), (-5, -1), (-4, -1), (3, -2), (-5, -2), (-1, -1), (0, -1), (1, 0), (4, -1)]",m263,"[(-1, -1), (0, -1), (1, 0)]","(23, 1)",[],202
"[(0, -1), (1, -1), (-1, 0)]",m266,"[(0, -1), (1, -1), (-1, 0)]","(45, -13)",[],203
"[(0, -1), (1, 0), (1, 1)]",m267,"[(0, -1), (1, 0), (1, 1)]","(1, 5)",[],204
"[(-1, 1), (-1, 0), (-4, 3), (0, -1), (-5, 3)]",m269,"[(-1, 1), (-1, 0), (0, -1)]","(17, -41)","[(-2, 3), (-1, 2), (1, -3), (-3, 4)]",205
"[(0, -1), (-1, 0), (-1, -1)]",m270,"[(0, -1), (-1, 0), (-1, -1)]","(1, -45)",[],206
"[(0, -1), (-1, 0), (-1, -1)]",m271,"[(0, -1), (-1, 0), (-1, -1)]","(20, -33)",[],207
"[(4, -3), (-2, -3), (-1, -3), (-1, -2), (0, -1), (1, 0), (1, -1)]",m272,"[(0, -1), (1, 0), (1, -1)]","(39, 14)",[],208
"[(0, -1), (1, 0), (1, 1)]",m273,"[(0, -1), (1, 0), (1, 1)]","(13, 23)",[],209
"[(0, -1), (-4, -1), (-3, -1), (-1, -2), (-1, -1), (-2, -3), (-1, -3), (-2, -1), (-3, -2), (-1, 0)]",m275,"[(0, -1), (-1, -1), (-1, 0)]","(13, -10)","[(2, -3), (-5, 1), (-3, 1), (-4, 1), (1, -3), (1, -2), (-3, 2)]",210
"[(-3, -4), (-1, 0), (-1, 3), (-1, -1), (-1, 4), (-1, -3), (-1, -4), (-2, -3), (-1, -2), (0, -1)]",m276,"[(-1, 0), (-1, -1), (0, -1)]","(1, -50)",[],211
"[(0, -1), (1, 0), (1, -1)]",m277,"[(0, -1), (1, 0), (1, -1)]","(15, 37)",[],212
"[(0, -1), (-1, 1), (-1, 0)]",m278,"[(0, -1), (-1, 1), (-1, 0)]","(3, -25)",[],213
"[(-3, -4), (-1, 0), (0, -1), (-1, -1), (-2, -3), (-1, -4), (-4, 1), (-1, -3), (-1, -2), (-3, 2)]",m279,"[(-1, 0), (0, -1), (-1, -1)]","(15, -28)","[(-2, 3), (1, -3), (1, -2)]",214
"[(1, 2), (2, -3), (3, -2), (2, 3), (0, -1), (1, -3), (1, 0), (3, 4), (1, 1)]",m280,"[(0, -1), (1, 0), (1, 1)]","(1, 4)","[(1, 3)]",215
"[(2, -3), (-1, -1), (-5, -2), (0, -1), (1, -3), (1, 0), (1, -2)]",m281,"[(-1, -1), (0, -1), (1, 0)]","(47, 1)",[],216
"[(1, 2), (0, -1), (1, 0), (1, -1)]",m282,"[(0, -1), (1, 0), (1, -1)]","(7, 41)",[],217
"[(0, -1), (-1, 0), (-1, -1)]",m284,"[(0, -1), (-1, 0), (-1, -1)]","(9, -17)","[(1, -2)]",218
"[(2, -3), (-4, -1), (-3, -2), (-2, -1), (-1, -3), (-2, -3), (-1, -2), (1, -3), (1, -2), (-3, -1), (-1, 0)]",m285,"[(-1, 0)]","(2, -1)","[(4, -3), (-5, 1), (3, -2), (-3, 1), (-4, 1), (-5, 2)]",219
"[(1, 0)]",m286,"[(1, 0)]","(1, 1)","[(5, -1), (2, -1), (3, 1), (3, -1), (6, -1), (3, -2), (1, -1), (-1, -2), (4, -1), (2, 1)]",220
"[(0, -1), (-1, 1), (-1, 0), (-2, 3), (-1, 2), (-1, -3), (-2, -3), (-1, -2), (-3, 4)]",m287,"[(0, -1), (-1, 1), (-1, 0)]","(1, -5)","[(-1, 3), (-1, 4)]",221
"[(0, -1), (2, -3), (-4, -1), (-3, -1), (-1, -2), (-1, -3), (-2, -3), (-5, -1), (-2, -1), (1, -3), (1, -2), (-3, -2)]",m288,"[(0, -1)]","(4, -3)","[(-5, 1), (-2, 1), (-3, 1), (-4, 1), (-3, 2)]",222
"[(1, 0)]",m289,"[(1, 0)]","(7, 1)","[(5, -1), (-3, -2), (-4, -1), (-3, -1), (-1, -1), (2, -1), (-1, -2), (3, -2), (6, -1), (8, 1), (7, -1), (-6, -1), (3, -1), (-5, -1), (-2, -1), (1, -2), (4, -1)]",223
"[(4, -3), (3, -1), (2, -3), (1, -3), (-3, -1), (-1, -2), (2, -1), (-1, -1), (3, -2), (-3, -2), (3, -4), (-1, -3), (1, -4), (-2, -1), (0, -1), (1, -1), (4, -1)]",m290,"[(0, -1), (1, -1)]","(17, 2)","[(-4, -1)]",224
"[(0, -1), (-3, -4), (2, -3), (3, -1), (-1, -4), (-1, -3), (3, -2), (-1, -1), (1, -3), (1, 0), (1, -2), (4, -1), (-2, -3)]",m291,"[(0, -1), (-1, -1), (1, 0)]","(29, 19)","[(-3, -2), (4, 1), (3, 1), (-4, -3)]",225
"[(1, -3), (-1, 0), (-3, -2), (1, -4), (-1, -3), (-2, -3), (-5, -1), (-1, -2), (-4, -3), (0, -1), (1, -2), (-3, -1), (-4, -1)]",m293,"[(-1, 0), (0, -1)]","(1, -1)","[(-2, 1), (-3, 2), (2, -3), (-3, 1), (-4, 1)]",226
"[(3, -1), (1, -1), (2, -1), (-1, -3), (1, -2), (-1, -4), (3, -2), (1, -3), (0, -1), (4, -1)]",m294,"[(0, -1)]","(1, 1)","[(3, 2), (3, 1), (-3, -4), (-2, -3), (4, 3), (5, 1), (4, 1), (2, 1)]",227
"[(0, -1), (-3, 2), (-1, 0)]",m296,"[(0, -1), (-1, 0)]","(10, -13)",[],228
"[(5, -1), (5, -2), (1, -2), (2, -3), (3, -2), (4, -1), (4, -3), (1, -3), (1, 0), (1, -1), (3, -1)]",m297,"[(1, 0), (1, -1)]","(4, 3)","[(3, 2), (4, 1), (3, 1), (-2, -3), (-1, -3), (-1, -2), (5, 1)]",229
"[(0, -1), (1, 0), (1, 1)]",m299,"[(0, -1), (1, 0), (1, 1)]","(25, 46)",[],230
"[(0, -1), (2, -3), (-1, -1), (3, -1), (4, -1), (-1, -4), (-1, -3), (3, -2), (1, -4), (1, -3), (1, 0), (1, -2), (-2, -3)]",m300,"[(0, -1), (-1, -1), (1, 0)]","(25, 8)","[(-3, -1), (4, 1), (-2, -1), (-3, -2)]",231
"[(-1, 0), (-3, -1), (-1, -3), (-2, -3), (-5, -1), (-1, -2), (-3, -2), (-5, -2), (-4, -1)]",m302,"[(-1, 0)]","(11, -9)","[(2, -3), (-5, 1), (-3, 2), (-3, 1), (-4, 1), (1, -3)]",232
"[(5, -1), (0, -1), (2, -3), (-4, -1), (-3, -2), (2, -1), (-1, 0), (3, -1), (-3, -1), (-2, -3), (3, -2), (-5, -1), (-1, -2), (1, -3), (1, -2), (4, -1), (-1, -3)]",m303,"[(0, -1), (-1, 0)]","(17, -1)",[],233
"[(-1, 0)]",m304,"[(-1, 0)]","(5, -1)","[(3, -2), (-5, -2), (-4, -1), (-3, -1), (2, -1), (-1, -2), (3, -1), (-3, -2), (-2, -3), (-6, -1), (-1, -3), (-5, -1), (-2, -1), (1, -3), (1, -2), (4, -1)]",234
[],m305,[],"(1, -3)","[(-5, 1), (-4, -1), (-6, 1), (-2, 3), (-1, 2), (-2, -1), (-4, 3), (-3, 1), (-4, 1), (-1, -3), (-5, -1), (-1, -2), (-3, 2), (-5, 2), (-3, -2), (-3, -1)]",235
[],m306,[],"(1, -1)","[(1, -3), (-5, 1), (-4, -1), (-3, -1), (-2, -3), (-3, 1), (-6, -1), (-4, 1), (-1, -3), (-5, -2), (-2, -1), (-3, 2), (-3, -2), (-5, -1)]",236
"[(5, -2), (5, -1), (2, -3), (3, -1), (6, -1), (3, -2), (4, -3), (1, -3), (1, -2), (4, -1)]",m307,[],"(1, 1)","[(4, 1), (-1, -3), (5, 1)]",237
"[(-1, 0)]",m310,"[(-1, 0)]","(2, -3)","[(-1, 1), (-5, 1), (-7, -1), (-6, 1), (-3, -2), (-1, -2), (-2, 1), (-3, 1), (-6, -1), (-4, 1), (-7, 1), (-5, -2), (-1, -1), (0, -1), (1, -2), (-5, -1), (-3, 2), (-4, -1)]",238
"[(0, -1), (1, -1), (2, -1), (2, -3), (3, -2), (1, -2), (-1, -3), (3, -1), (1, -4), (-1, -2), (1, -3), (1, 0), (4, -1), (-2, -3)]",m312,"[(0, -1), (1, -1), (1, 0)]","(13, 9)","[(3, 2), (4, 1)]",239
"[(0, -1), (-1, 0), (-1, -1)]",m316,"[(0, -1), (-1, 0), (-1, -1)]","(9, -41)","[(-1, 2)]",240
"[(0, -1), (-1, 1), (-1, 0), (-1, -2)]",m318,"[(0, -1), (-1, 1), (-1, 0)]","(4, -49)",[],241
"[(-1, 0)]",m319,"[(-1, 0)]","(1, -1)","[(-5, 1), (-6, 1), (-3, -1), (-2, -3), (-3, 1), (-6, -1), (-4, 1), (-5, -1), (-2, -1), (-3, -2), (-5, -2), (-4, -1)]",242
"[(5, -2), (4, -3), (2, -3), (1, -1), (2, -1), (5, -1), (3, -1), (3, -2), (1, -3), (1, -2), (4, -1)]",m320,"[(1, -1)]","(1, 1)","[(-1, -3), (-2, -3)]",243
"[(5, -2), (4, -3), (2, -3), (5, -1), (3, -2), (5, -3), (3, -1), (3, -4), (1, -4), (1, -3), (1, 0), (1, -2), (4, -1), (0, -1)]",m322,"[(1, 0), (0, -1)]","(9, 2)","[(-3, -1), (-1, -1), (-2, -1), (-3, -2), (-1, -3), (-2, -3), (-1, -2)]",244
"[(-5, -1), (-3, -4), (-4, -1), (-3, 1), (-3, -2), (-1, -1), (-2, 1), (-3, -1), (-1, -4), (-2, -3), (-4, 1), (-1, -3), (-5, -2), (-1, -2), (-4, -3), (0, -1), (-3, 2), (-1, 0)]",m326,"[(-1, -1), (0, -1), (-1, 0)]","(20, -23)","[(1, -3), (2, -3), (1, -2)]",245
"[(-5, 1), (-4, -1), (-3, -2), (-3, 1), (-2, -3), (-4, 1), (-1, -3), (-2, -1), (0, -1), (-3, -1), (-1, 0)]",m335,"[(0, -1), (-1, 0)]","(17, -21)","[(1, -3), (2, -3), (-3, 2), (-4, 3), (1, -2)]",246
"[(-1, 1), (-4, -1), (-3, 1), (-4, 3), (-1, -4), (-2, -3), (-4, 1), (-1, -3), (-2, -1), (0, -1), (-3, -2), (-3, -1), (-3, 2), (-1, 0)]",m336,"[(-1, 1), (0, -1), (-1, 0)]","(1, -3)","[(-2, 3), (-1, 2), (1, -4)]",247
"[(3, -1), (2, -3), (-5, -1), (-4, -1), (-3, -1), (-1, -1), (2, -1), (-1, -2), (3, -2), (-3, -2), (-1, -3), (-2, -3), (-5, -2), (-2, -1), (-4, -3), (1, -3), (1, -2), (4, -1), (-1, 0)]",m337,"[(-1, -1), (-1, 0)]","(29, -3)","[(5, -1)]",248
"[(5, -1), (3, -2), (2, -3), (-5, -2), (-4, -1), (-3, -1), (-1, -1), (2, -1), (-1, 0), (-1, -2), (3, -1), (-3, -2), (-2, -3), (-1, -3), (-5, -1), (-2, -1), (-4, -3), (1, -3), (1, -2), (4, -1), (0, -1)]",m338,"[(-1, -1), (-1, 0), (0, -1)]","(37, -3)",[],249
"[(3, -2), (2, -3), (1, -3), (-1, -3), (-1, -4), (-2, -3), (1, -4), (-1, -2), (0, -1), (1, 0), (1, -2), (4, -1)]",m339,"[(0, -1), (1, 0)]","(31, 21)",[],250
"[(1, 0)]",m340,"[(1, 0)]","(9, 1)","[(5, -1), (-5, -2), (-7, -1), (-4, -1), (-3, -1), (-2, -1), (3, -1), (6, -1), (-3, -2), (7, -1), (-6, -1), (3, -2), (-5, -1), (-1, -2), (1, -2), (4, -1)]",251
"[(5, -2), (4, -3), (2, -3), (5, -1), (-1, -1), (-2, -3), (3, -2), (-1, -3), (1, -2), (-1, -2), (1, -3), (1, 0), (3, -1), (4, -1), (0, -1)]",m342,"[(-1, -1), (1, 0), (0, -1)]","(28, 13)","[(-3, -2), (-2, -1), (3, 1), (4, 1)]",252
"[(-4, -1), (-3, -2), (-1, -1), (-2, -1), (-1, -3), (-3, -1), (3, -1), (-1, -2), (0, -1), (1, 0), (1, -1), (4, -1)]",m343,"[(0, -1), (1, 0), (1, -1)]","(22, 1)",[],253
"[(1, 0)]",m345,"[(1, 0)]","(1, 2)","[(5, -1), (5, -2), (2, -3), (3, 1), (4, 1), (6, 1), (2, -1), (3, 2), (3, -1), (6, -1), (3, -2), (2, 1), (5, 1), (1, -3), (1, -2), (4, -1), (1, 1)]",254
"[(0, -1), (2, -3), (-4, -1), (-3, -2), (-1, -4), (-2, -3), (-1, -3), (1, -4), (-2, -1), (1, -3), (1, -2), (-3, -1), (-1, 0)]",m346,"[(0, -1), (-1, 0)]","(29, -11)","[(-3, 1), (2, -1), (3, -2), (-4, 1)]",255
"[(-5, -2), (-4, -1), (-3, -1), (-1, 0), (3, -1), (-3, -2), (-1, -3), (-6, -1), (3, -2), (-5, -1), (-1, -2), (-4, -3), (1, -3), (1, -2), (4, -1), (-2, -3)]",m349,"[(-1, 0)]","(25, -3)","[(5, -1)]",256
"[(5, -1), (3, -1), (2, -3), (-4, -1), (1, -3), (-3, -1), (-1, -2), (3, -2), (-3, -2), (-1, -3), (-2, -3), (-5, -1), (-2, -1), (0, -1), (1, 0), (1, -2), (4, -1)]",m350,"[(0, -1), (1, 0)]","(41, 3)",[],257
"[(0, -1), (-1, 1), (-1, 0), (-3, -2), (-1, -2), (-3, 2), (-4, 3), (-3, 1), (-1, -3), (-4, 1), (-2, -3), (1, -4), (-2, -1), (1, -3), (-3, -1)]",m351,"[(0, -1), (-1, 1), (-1, 0)]","(37, -41)","[(2, -3), (3, -4)]",258
"[(4, -3), (0, -1), (2, -3), (2, -1), (1, -2), (3, -2), (1, -1), (-1, -3), (3, -1), (1, -4), (-1, -2), (1, -3), (1, 0), (4, -1), (-2, -3)]",m352,"[(0, -1), (1, -1), (1, 0)]","(17, 6)","[(-3, -2), (3, 1), (4, 1)]",259
"[(-2, 1), (-4, -1), (-1, -2), (-1, 1), (-2, -3), (-3, 1), (-4, 3), (-4, 1), (-1, -3), (-2, -1), (0, -1), (-3, -1), (-3, -2), (-3, 2), (-1, 0)]",m356,"[(-1, 1), (0, -1), (-1, 0)]","(7, -16)","[(1, -3), (-2, 3), (-1, 2), (1, -4), (-3, 4)]",260
"[(-4, 1), (2, -3), (-5, 1), (-4, -1), (-3, -2), (1, -2), (-2, -1), (-1, 0), (-3, 1), (-2, -3), (3, -4), (-1, -3), (1, -4), (-1, -2), (1, -3), (-5, 2), (-3, -1), (0, -1)]",m358,"[(-1, 0), (0, -1)]","(11, -7)","[(4, -3), (3, -2), (-5, 3)]",261
"[(-2, 1), (-4, -1), (-1, -4), (-1, 0), (-1, 1), (-4, 3), (-3, 1), (-1, -3), (-4, 1), (-2, -3), (-2, -1), (-3, -1), (-3, -2), (-3, 2), (0, -1)]",m360,"[(-1, 0), (-1, 1), (0, -1)]","(1, -18)","[(-2, 3), (-1, 3), (-1, 2), (-1, 4)]",262
"[(3, -1), (2, -3), (1, -1), (0, -1), (3, -2), (1, -2), (-1, -4), (-1, -3), (-2, -3), (1, -4), (-1, -2), (1, -3), (1, 0), (4, -1)]",m361,"[(1, -1), (0, -1), (1, 0)]","(35, 12)","[(-3, -2), (4, 1)]",263
