L_space_fillings,name,census_knot,finite_fillings,longitude,non_L_space_fillings,thurston_norm,id
"[(0, -1), (-3, -4), (-1, -1), (2, -1), (3, -2), (3, -1), (2, -3), (1, -3), (1, 0), (4, -1)]",s472,False,"[(0, -1), (-1, -1), (1, 0)]","(40, 29)","[(3, 1), (-4, -3), (3, 2), (4, 1)]",33,757
"[(0, -1), (1, 0), (1, -2)]",s473,False,"[(0, -1), (1, 0)]","(43, 29)",[],35,758
"[(-1, -1), (-1, -3), (-1, -4), (-2, -3), (-1, -2), (1, -3), (1, 0)]",s474,False,"[(-1, -1), (1, 0)]","(27, 8)","[(-4, -3), (-3, -2)]",21,759
"[(1, 0), (1, -1)]",s475,False,"[(1, 0), (1, -1)]","(3, 11)",[],11,760
"[(0, -1), (-1, 1), (-1, 0)]",s476,False,"[(0, -1), (-1, 1), (-1, 0)]","(3, -79)",[],73,761
"[(4, -3), (1, -3), (2, -3), (-1, -3), (3, -4), (1, -4), (-1, -2), (0, -1), (1, 0), (1, -2), (5, -3)]",s477,False,"[(0, -1), (1, 0)]","(1, 1)","[(-2, -3)]",2,762
"[(-1, 0)]",s478,False,"[(-1, 0)]","(1, -1)","[(-2, 1), (-4, -1), (-3, -2), (-1, -1), (-3, -1), (-3, 1), (-5, -1), (-2, -1)]",1,763
"[(5, -2), (-4, -1), (-3, -2), (1, -1), (2, -1), (-1, -2), (3, -2), (-3, -1), (-6, -1), (-1, -3), (-5, -1), (-2, -1), (4, -1), (1, -2), (3, -1), (-1, 0)]",s479,False,"[(-1, 0)]","(7, -1)","[(5, -1), (6, -1)]",3,764
"[(5, -1), (5, -2), (2, -3), (3, -1), (3, -2), (4, -3), (1, -3), (1, 0), (1, -2), (4, -1)]",s480,False,"[(1, 0)]","(1, 1)","[(4, 1), (3, 1), (3, 2), (2, 1), (-1, -3), (-1, -2), (-2, -3)]",1,765
"[(0, -1), (2, -3), (-4, -1), (-3, -1), (-2, -1), (-1, -4), (-2, -3), (-1, -3), (1, -4), (-1, -2), (1, -3), (1, -2), (-3, -2), (3, -4), (-1, 0)]",s481,False,"[(0, -1), (-1, 0)]","(3, -1)","[(4, -3), (2, -1), (3, -2), (-4, 1)]",7,766
"[(5, -2), (5, -1), (3, -1), (4, -3), (1, -3), (1, 0), (1, -1), (4, -1)]",s482,False,"[(1, 0), (1, -1)]","(17, 19)","[(3, 2), (4, 1), (3, 1), (-2, -3), (-1, -3), (-1, -2)]",27,767
"[(0, -1)]",s483,False,"[(0, -1)]","(10, 1)",[],7,768
"[(2, -3), (-1, 0), (-1, -4), (-3, -1), (-2, -3), (3, -2), (1, -4), (-2, -1), (0, -1), (-3, -2), (-4, -1)]",s484,False,"[(-1, 0), (0, -1)]","(53, -19)","[(-3, 1), (-4, 1)]",35,769
"[(0, -1), (1, 0), (-1, -2)]",s485,False,"[(0, -1), (1, 0)]","(23, 15)",[],17,770
[],s486,False,[],"(1, -1)",[],1,771
"[(2, -1)]",s487,False,[],"(1, 1)",[],1,772
"[(3, -2), (2, -1), (1, -3), (1, -2), (2, -3), (3, -1), (1, -4), (0, -1), (1, 0), (4, -1)]",s488,False,"[(0, -1), (1, 0)]","(1, 1)","[(3, 2), (3, 1), (-2, -3), (-1, -3), (-1, -2), (4, 1)]",1,773
"[(1, 0)]",s489,False,"[(1, 0)]","(0, 1)","[(2, 1), (2, -1), (1, -1)]",1,774
"[(-4, -1), (-3, -1), (-1, -2), (-2, -3), (-1, -3), (-2, -1), (-3, -2), (-1, 0)]",s490,False,"[(-1, 0)]","(12, -13)","[(-2, 1), (-5, 1), (2, -3), (-3, 1), (-4, 1), (1, -3), (1, -2), (-3, 2)]",19,775
[],s491,False,[],"(1, -1)",[],1,776
[],s492,False,[],"(1, 1)",[],1,777
"[(1, 0)]",s493,False,"[(1, 0)]","(1, 1)","[(5, -1), (3, -1), (2, -3), (2, -1), (4, 1), (5, 2), (3, 1), (3, 2), (-1, -3), (2, 1), (3, -2), (-1, -2), (5, 1), (1, -3), (1, -2), (4, -1), (-2, -3)]",3,778
"[(-1, 0), (-2, -1)]",s494,False,"[(-1, 0)]","(25, -19)",[],27,779
"[(0, -1), (2, -3), (-4, -1), (-3, -1), (-2, -1), (-1, -2), (-1, -3), (-2, -3), (1, -4), (-1, -1), (1, -3), (1, -2), (-3, -2), (3, -4), (-1, 0)]",s495,False,"[(0, -1), (-1, 0)]","(3, -2)","[(4, -3), (-5, 1), (-3, 1), (-4, 1), (-5, 2)]",7,780
"[(5, -1), (0, -1), (3, 2), (3, 1), (2, 1), (1, -4), (1, -3), (1, 0), (4, 1), (4, -1)]",s496,False,"[(0, -1), (1, 0)]","(1, 1)","[(-2, -3), (-1, -3), (-1, -2)]",3,781
"[(0, -1), (-1, -3), (-1, -4), (-2, -3), (-1, -2)]",s497,False,"[(0, -1)]","(7, -5)","[(2, -3), (1, -1), (1, -3), (1, -2)]",9,782
"[(2, -3), (-4, -1), (-3, -1), (-1, -2), (-1, 0), (-1, -1), (-1, -4), (-1, -3), (3, -2), (-2, -1), (-4, -3), (1, -3), (-3, -2), (-2, -3)]",s498,False,"[(-1, 0), (-1, -1)]","(6, -1)","[(3, -1), (4, -1)]",5,783
"[(3, -2), (2, -1), (3, -1)]",s499,False,[],"(6, -1)","[(5, -1), (4, -1)]",3,784
